,id,age,income,net_worth,retirement_balance
0,1,70.0,36448.3466934,635360.0,264400.0
1,2,46.0,224829.65932,722780.0,200000.0
2,3,68.0,464575.901804,43515270.0,978400.0
3,4,74.0,147652.555108,2112600.0,3002000.0
4,6,74.0,273297.745494,6878234.0,1884400.0
5,7,52.0,13747036.573199999,73774600.0,3332600.0
6,12,51.0,43668.8376752,4020.0,1080.0
7,13,77.0,23131.513026,127488.0,64800.0
8,18,57.0,81068.386774,1016760.0,640000.0
9,21,75.0,1910187.37476,42207160.0,2788000.0
10,22,52.0,307411.32264800003,3419200.0,4564000.0
11,24,63.0,324273.54709,2955602.0,2286000.0
12,25,57.0,3791838.6773399995,87783800.0,12596000.0
13,26,41.0,42155.561122,4088.0,4000.0
14,30,68.0,95552.60521059998,2663640.0,1360000.0
15,32,52.0,324273.54709,364900.0,60000.0
16,33,42.0,65070.8917836,94480.0,55040.0
17,34,42.0,829491.733468,5132700.0,1954400.0
18,38,67.0,6282259.5190200005,39188800.0,12518600.0
19,40,52.0,172081.162324,158500.0,210000.0
20,46,81.0,77393.28657319999,1025150.0,1232200.0
21,48,55.0,1020380.7615,6281060.0,500000.0
22,49,61.0,5728832.66532,133813300.0,9456000.0
23,50,56.0,281037.07415,919394.0,1220000.0
24,53,57.0,297250.7515,4097600.0,4690000.0
25,60,65.0,2886034.56914,9719300.0,3741600.0
26,61,58.0,1191164.82966,11703000.0,2938000.0
27,63,53.0,114576.65331,936160.0,724400.0
28,64,37.0,237800.6012,487350.0,98000.0
29,66,33.0,404261.02204,1458262.0,101400.0
30,69,44.0,68745.99198379999,120254.0,96000.0
31,71,63.0,196942.13426599998,1359800.0,50000.0
32,73,38.0,148517.28456800003,429998.0,231480.0
33,74,80.0,36967.1843686,577800.0,200000.0
34,75,71.0,5646683.36674,134866200.0,4392000.0
35,77,51.0,72421.092184,225570.0,420000.0
36,78,47.0,86472.945892,329120.0,254000.0
37,79,73.0,65287.07414819999,904540.0,570000.0
38,81,55.0,612012.274546,7575000.0,4584000.0
39,84,67.0,729399.2985980001,17409040.0,1026200.0
40,86,43.0,159110.22044200002,581694.0,98400.0
41,87,55.0,2617968.43688,158202200.0,7535200.0
42,89,64.0,960282.0641239999,59718000.0,800000.0
43,91,44.0,85392.034068,245040.0,41000.0
44,92,60.0,289468.186372,6068620.0,283600.0
45,93,60.0,2557437.37474,14899200.0,6000000.0
46,95,31.0,90796.593186,109968.0,50000.0
47,96,57.0,934988.7274499999,6680700.0,6200000.0
48,98,50.0,599689.8797600002,2816860.0,2053600.0
49,101,51.0,324273.54709,488900.0,464800.0
50,102,49.0,45398.296593399995,22720.0,28000.0
