,current_pct,employer_cap
0,6.75,6.0
1,8.0,5.25
2,9.75,10.75
3,8.0,9.0
4,10.5,9.0
5,12.0,6.25
6,8.25,8.25
7,5.0,10.75
8,9.25,3.5
9,12.75,7.5
10,5.5,11.0
11,8.5,11.0
12,12.25,6.75
13,6.75,4.5
14,9.25,12.5
15,6.5,10.75
16,5.0,11.0
17,5.75,9.0
18,9.0,10.75
19,8.25,6.5
20,9.5,9.0
21,5.25,9.75
22,10.5,13.25
23,5.25,4.5
24,9.75,7.5
25,8.75,12.5
26,3.5,8.25
27,10.25,6.5
28,7.25,3.5
29,14.25,4.25
30,6.5,8.5
31,13.0,2.75
32,5.25,13.75
33,3.0,5.0
34,11.75,6.5
35,2.75,4.75
36,4.0,10.0
37,11.75,4.5
38,7.25,12.5
39,8.5,6.5
40,11.0,7.25
41,10.5,1.0
42,6.75,3.75
43,2.25,9.5
44,4.75,4.25
45,5.5,8.25
46,11.75,13.25
47,13.0,5.25
48,3.5,3.75
49,6.75,8.25
50,13.5,9.25
51,7.0,4.25
52,10.0,9.25
53,9.75,8.0
54,9.5,6.0
55,6.5,6.0
56,3.75,9.0
57,8.75,9.75
58,10.25,11.0
59,3.25,1.25
60,15.0,10.25
61,1.25,4.0
62,1.75,4.0
63,3.75,7.75
64,6.0,12.25
65,7.75,9.75
66,7.25,8.5
67,8.0,7.75
68,5.75,6.75
69,13.5,10.5
70,6.0,6.5
71,7.0,4.5
72,4.0,6.75
73,7.25,12.75
74,12.0,9.75
75,13.25,4.0
76,10.25,5.0
77,8.25,5.25
78,6.75,11.75
79,10.25,3.75
80,5.75,11.25
81,9.5,2.75
82,8.0,4.25
83,8.75,12.0
84,12.0,11.25
85,3.75,8.5
86,8.5,15.5
87,14.5,4.75
88,6.25,7.25
89,8.0,5.25
90,7.75,3.5
91,6.25,12.25
92,2.75,7.5
93,4.0,6.75
94,9.25,5.0
95,17.25,15.75
96,4.0,15.5
97,5.5,11.0
98,9.0,5.0
99,8.5,8.0
100,10.0,6.0
101,9.0,10.25
102,5.25,7.25
103,10.0,8.25
104,9.25,10.75
105,13.0,6.25
106,7.0,10.75
107,8.0,6.75
108,13.5,9.25
109,4.75,11.0
110,11.5,5.25
111,6.0,3.5
112,9.5,5.25
113,8.0,3.75
114,4.0,9.75
115,5.75,16.5
116,7.75,6.75
117,5.0,7.0
118,4.75,8.25
119,9.25,8.75
120,7.0,12.0
121,7.0,9.75
122,8.0,7.25
123,7.25,7.25
124,7.0,7.0
125,7.5,11.25
126,6.5,2.25
127,13.0,6.0
128,14.5,7.5
129,3.0,8.25
130,8.25,8.25
131,12.5,16.5
132,8.25,5.25
133,10.75,2.5
134,7.5,7.25
135,4.0,6.5
136,3.5,6.5
137,9.0,13.0
138,6.75,10.5
139,8.0,4.75
140,9.25,10.5
141,5.0,6.75
142,7.25,12.5
143,10.5,5.75
144,13.0,9.75
145,8.0,5.25
146,11.75,3.25
147,5.25,11.5
148,3.75,6.25
149,2.25,2.25
150,9.5,7.75
151,5.5,13.0
152,6.5,11.5
153,4.5,12.5
154,4.5,6.5
155,5.0,14.0
156,11.0,7.5
157,5.75,9.75
158,10.0,8.25
159,2.5,6.5
160,7.0,5.75
161,6.0,5.25
162,1.5,11.0
163,5.5,5.75
