,last_login
0,32.2
1,9.3
2,161.3
3,11.0
4,3.5
5,54.0
6,15.0
7,16.5
8,0.9
9,22.9
10,31.2
11,6.9
12,50.3
13,6.3
14,23.6
15,3.9
16,27.7
17,13.9
18,20.7
19,79.5
20,33.4
21,27.0
22,85.2
23,60.9
24,35.0
25,9.9
26,43.0
27,4.7
28,252.7
29,7.1
30,74.3
31,57.1
32,9.6
33,54.0
34,1.4
35,40.7
36,35.9
37,1.8
38,33.1
39,112.7
40,24.0
41,17.0
42,18.2
43,35.0
44,15.9
45,8.1
46,30.8
47,43.3
48,24.3
49,67.2
50,4.5
51,10.3
52,3.8
53,0.8
54,18.5
55,26.2
56,63.0
57,21.1
58,6.5
59,0.2
60,8.0
61,15.6
62,37.3
63,8.3
64,23.8
65,9.5
66,76.4
67,170.1
68,5.2
69,22.6
70,32.3
71,4.1
72,2.2
73,41.1
74,60.8
75,22.5
76,19.2
77,15.4
78,20.3
79,67.9
80,16.4
81,38.3
82,2.2
83,71.1
84,7.8
85,42.5
86,9.4
87,3.4
88,17.8
89,22.2
90,0.9
91,7.2
92,7.2
93,20.6
94,48.3
95,11.2
96,33.2
97,59.3
98,18.8
99,4.9
100,107.5
101,72.9
102,19.6
103,28.9
104,4.6
105,44.1
106,6.7
107,8.8
108,26.5
109,113.1
110,7.5
111,11.2
112,3.8
113,10.6
114,7.1
115,10.8
116,30.5
117,84.4
118,18.1
119,70.9
120,23.7
121,14.0
122,2.3
123,9.5
124,17.1
125,22.6
126,36.4
127,22.6
128,79.7
129,58.7
130,40.8
131,134.0
132,39.8
133,37.2
134,17.2
135,30.6
136,3.6
137,59.0
138,3.2
139,2.6
140,34.0
141,27.7
142,12.4
143,33.8
144,52.3
145,4.9
146,69.3
147,32.4
148,21.2
149,36.4
150,32.5
151,76.1
152,27.2
153,10.9
154,3.3
155,60.4
156,12.6
157,47.8
158,70.1
159,8.3
160,36.4
161,13.3
162,21.8
163,51.5
164,6.2
165,59.5
166,13.3
167,23.1
168,12.6
169,27.0
170,13.8
171,58.5
172,0.9
173,12.2
174,29.9
175,21.6
176,50.6
177,13.9
178,12.4
179,54.1
180,0.5
181,14.4
182,26.4
183,26.0
184,19.6
185,62.8
186,26.4
187,75.0
188,1.3
189,6.8
190,31.5
191,110.2
192,7.6
193,5.8
194,8.8
195,36.5
196,27.1
197,41.6
198,31.2
199,75.2
200,25.6
201,9.1
202,38.3
203,12.1
204,5.7
205,59.7
206,15.2
207,18.0
208,19.3
209,11.4
210,3.8
211,12.5
212,73.0
213,14.8
214,7.1
215,60.3
216,3.4
217,1.6
218,6.7
219,60.8
220,37.1
221,3.3
222,6.7
223,7.5
224,33.8
225,51.0
226,66.8
227,19.8
228,27.5
229,24.5
230,13.6
231,23.3
232,28.0
233,0.7
234,5.2
235,30.0
236,1.8
237,41.8
238,13.9
239,35.5
240,14.7
241,4.6
242,73.1
243,18.1
244,14.9
245,1.3
246,27.8
247,56.2
248,10.8
249,24.8
250,0.7
251,5.5
252,1.2
253,18.2
254,31.6
255,26.9
256,1.6
257,2.7
258,105.8
259,5.4
260,2.5
261,125.2
262,41.9
263,51.2
264,0.3
265,3.0
266,100.4
267,56.3
268,1.6
269,76.6
270,48.6
271,7.3
272,7.3
273,19.0
274,8.0
275,70.8
276,15.6
277,3.3
278,28.5
279,18.1
280,36.8
281,36.7
282,16.6
283,9.0
284,0.7
285,2.8
286,44.8
287,14.2
288,67.0
289,11.1
290,80.9
291,0.7
292,8.3
293,15.0
294,41.1
295,18.4
296,47.8
297,47.6
298,38.1
299,61.2
300,4.2
301,53.8
302,7.5
303,35.9
304,61.4
305,34.7
306,22.5
307,5.0
308,11.8
309,87.2
310,8.9
311,8.0
312,7.9
313,3.9
314,5.7
315,70.7
316,0.2
317,9.0
318,2.3
319,41.1
320,6.6
321,3.1
322,5.1
323,11.6
324,42.0
325,128.6
326,11.5
327,44.0
328,9.6
329,23.4
330,3.9
331,24.8
332,132.7
333,2.0
334,29.3
335,5.9
336,8.3
337,13.4
338,47.4
339,33.1
340,18.9
341,31.6
342,128.1
343,14.5
344,13.6
345,14.8
346,45.0
347,7.5
348,3.1
349,14.8
350,45.4
351,41.5
352,3.3
353,26.7
354,3.3
355,8.1
356,62.1
357,9.9
358,89.3
359,2.6
360,25.8
361,19.2
362,12.2
363,1.6
364,42.2
365,6.3
366,8.0
367,29.8
368,41.0
369,1.9
370,74.9
371,45.8
372,49.4
373,15.8
374,72.1
375,25.0
376,8.5
377,1.5
378,21.1
379,57.7
380,16.3
381,3.2
382,9.8
383,15.1
384,48.4
385,53.7
386,15.1
387,45.5
388,7.9
389,24.6
390,10.7
391,5.5
392,60.0
393,26.2
394,55.7
395,1.8
396,15.2
397,1.4
398,56.8
399,75.5
400,30.9
401,36.4
402,151.4
403,15.7
404,4.3
405,2.1
406,1.1
407,27.3
408,59.6
409,1.0
410,53.7
411,26.3
412,15.8
413,83.4
414,18.2
415,44.2
416,11.6
417,102.1
418,10.1
419,2.5
420,3.1
421,17.0
422,15.1
423,56.6
424,63.4
425,16.8
426,49.1
427,12.9
428,6.2
429,12.4
430,3.5
431,24.4
432,3.7
433,0.7
434,94.6
435,15.1
436,29.7
437,69.0
438,7.9
439,2.9
440,17.5
441,78.9
442,7.1
443,63.6
444,10.9
445,37.5
446,55.7
447,102.5
448,0.1
449,11.7
450,83.7
451,16.5
452,14.6
453,16.2
454,21.3
455,42.1
456,15.8
457,22.5
458,43.3
459,60.8
460,52.9
461,25.0
462,35.9
463,14.6
464,22.2
465,73.7
